season,date,home_team,away_team,home_win_bool,home_max_rating_Defense,home_max_rating_GK,home_max_rating_Midfield,home_max_rating_Attack,home_median_rating_Defense,home_median_rating_GK,home_median_rating_Midfield,home_median_rating_Attack,home_var_rating_Defense,home_var_rating_GK,home_var_rating_Midfield,home_var_rating_Attack,home_sum_work_rate_Defense,home_sum_work_rate_GK,home_sum_work_rate_Midfield,home_sum_work_rate_Attack,away_max_rating_Defense,away_max_rating_GK,away_max_rating_Midfield,away_max_rating_Attack,away_median_rating_Defense,away_median_rating_GK,away_median_rating_Midfield,away_median_rating_Attack,away_var_rating_Defense,away_var_rating_GK,away_var_rating_Midfield,away_var_rating_Attack,away_sum_work_rate_Defense,away_sum_work_rate_GK,away_sum_work_rate_Midfield,away_sum_work_rate_Attack,home_win_1_0,diff_max_rating_Defense,diff_max_rating_GK,diff_max_rating_Midfield,diff_max_rating_Attack,diff_median_rating_Defense,diff_median_rating_GK,diff_median_rating_Midfield,diff_median_rating_Attack,diff_var_rating_Defense,diff_var_rating_GK,diff_var_rating_Midfield,diff_var_rating_Attack,diff_sum_work_rate_Defense,diff_sum_work_rate_GK,diff_sum_work_rate_Midfield,diff_sum_work_rate_Attack,diff_median_rating_home_attack_away_defense,diff_median_rating_home_defense_away_attack,diff_max_rating_home_attack_away_gk,diff_max_rating_home_gk_away_attack
15/16,2015-10-03,Chelsea,Southampton,FALSE,82,87,89,86,81,77.5,84,86,2,108.27922077922078,10.333333333333332,0,1,8,2,1,73,81,79,77,69.5,74,78,77,24.5,46.76,7,0,0,7,2,1,0,9,6,10,9,11.5,3.5,6,9,-22.5,61.51922077922078,3.333333333333332,0,1,1,0,0,16.5,4,5,10
15/16,2015-10-03,Crystal Palace,West Bromwich Albion,TRUE,76,79,77,76,75,73,75,76,2,25.482213438735183,1.3333333333333335,0,1,4,1,1,73,79,78,80,69.5,73,76,80,24.5,75.34601449275362,4,0,0,4,1,1,1,3,0,-1,-4,5.5,0,-1,-4,-22.5,-49.86380105401844,-2.6666666666666665,0,1,0,0,0,6.5,-5,-3,-1
15/16,2015-10-03,Manchester City,Newcastle United,TRUE,79,88,86,87,79,80,82,87,0,77.99209486166009,9.333333333333332,0,2,8,2,1,77,80,76,78,74.5,73,76,78,12.5,33.44927536231885,3,0,2,7,2,0,1,2,8,10,9,4.5,7,6,9,-12.5,44.54281949934124,6.333333333333332,0,0,1,0,1,12.5,1,7,10
15/16,2015-10-03,Sunderland,West Ham United,FALSE,74,79,79,79,73,72,77,79,2,48.242165242165235,8,0,2,5,0,0,74,79,81,75,73.5,73,76,75,0.5,71.64,8.333333333333332,0,1,1,1,0,0,0,0,-2,4,-0.5,-1,1,4,1.5,-23.397834757834765,-0.33333333333333215,0,1,4,-1,0,5.5,-2,0,4
15/16,2015-10-04,Swansea City,Tottenham Hotspur,FALSE,74,81,79,77,74,75,78,77,0,58.389492753623195,1,0,0,3,3,1,79,85,79,78,77.5,75,79,78,4.5,83.82333333333334,0,0,2,10,0,1,0,-5,-4,0,-1,-3.5,0,-1,-1,-4.5,-25.433840579710143,1,0,-2,-7,3,0,-0.5,-4,-8,3
15/16,2015-10-17,Chelsea,Aston Villa,TRUE,82,87,89,86,81,77.5,84,86,2,108.27922077922078,10.333333333333332,0,1,8,2,1,75,79,76,73,74,74,74,73,2,29.221343873517785,4,0,1,3,2,0,1,7,8,13,13,7,3.5,10,13,0,79.057876905703,6.333333333333332,0,0,5,0,1,12,8,7,14
15/16,2015-10-17,Crystal Palace,West Ham United,FALSE,76,79,77,76,75,73,75,76,2,25.482213438735183,1.3333333333333335,0,1,4,1,1,74,79,81,75,73.5,73,76,75,0.5,71.64,8.333333333333332,0,1,1,1,0,0,2,0,-4,1,1.5,0,-1,1,1.5,-46.157786561264814,-6.999999999999998,0,0,3,0,1,2.5,0,-3,4
15/16,2015-10-17,Watford,Arsenal,FALSE,77,78,75,72,71.5,71,75,72,60.5,36.409090909090914,1.3333333333333335,0,2,1,1,0,80,85,87,86,77,78,87,82,18,124.10461538461539,0,7,0,6,0,3,0,-3,-7,-12,-14,-5.5,-7,-12,-10,42.5,-87.69552447552448,1.3333333333333335,-7,2,-5,1,-3,-5,-10.5,-13,-8
15/16,2015-10-17,West Bromwich Albion,Sunderland,TRUE,73,79,78,80,69.5,73,76,80,24.5,75.34601449275362,4,0,0,4,1,1,74,79,79,79,73,72,77,79,2,48.242165242165235,8,0,2,5,0,0,1,-1,0,-1,1,-3.5,1,-1,1,22.5,27.10384925058839,-4,0,-2,-1,1,1,7,-9.5,1,0
15/16,2015-10-18,Newcastle United,Norwich City,TRUE,77,80,76,78,74.5,73,76,78,12.5,33.44927536231885,3,0,2,7,2,0,71,78,74,75,70,70,74,75,2,51.52173913043478,0,0,1,3,2,0,1,6,2,2,3,4.5,3,2,3,10.5,-18.07246376811593,3,0,1,4,0,0,8,-0.5,0,5
15/16,2015-10-19,Swansea City,Stoke City,FALSE,74,81,79,77,74,75,78,77,0,58.389492753623195,1,0,0,3,3,1,77,80,81,71,75.5,75,80,71,4.5,33.474025974025984,2.3333333333333335,0,1,2,2,1,0,-3,1,-2,6,-1.5,0,-2,6,-4.5,24.91546677959721,-1.3333333333333335,0,-1,1,1,0,1.5,3,-3,10
15/16,2015-10-24,Arsenal,Everton,TRUE,80,85,87,86,77,78,87,82,18,124.10461538461539,0,7,0,6,0,3,66,83,79,80,65.5,76.5,76,80,0.5,45.30735930735931,3,0,0,8,1,0,1,14,2,8,6,11.5,1.5,11,2,17.5,78.79725607725607,-3,7,0,-2,-1,3,16.5,-3,3,5
15/16,2015-10-24,Aston Villa,Swansea City,FALSE,75,79,76,73,74,74,74,73,2,29.221343873517785,4,0,1,3,2,0,74,81,79,77,74,75,78,77,0,58.389492753623195,1,0,0,3,3,1,0,1,-2,-3,-4,0,-1,-4,-4,2,-29.16814888010541,3,0,1,0,-1,-1,-1,-3,-8,2
15/16,2015-10-24,Norwich City,West Bromwich Albion,FALSE,71,78,74,75,70,70,74,75,2,51.52173913043478,0,0,1,3,2,0,73,79,78,80,69.5,73,76,80,24.5,75.34601449275362,4,0,0,4,1,1,0,-2,-1,-4,-5,0.5,-3,-2,-5,-22.5,-23.824275362318843,-4,0,1,-1,1,-1,5.5,-10,-4,-2
15/16,2015-10-24,Stoke City,Watford,FALSE,77,80,81,71,75.5,75,80,71,4.5,33.474025974025984,2.3333333333333335,0,1,2,2,1,77,78,75,72,71.5,71,75,72,60.5,36.409090909090914,1.3333333333333335,0,2,1,1,0,0,0,2,6,-1,4,4,5,-1,-56,-2.935064935064929,1,0,-1,1,1,1,-0.5,3.5,-7,8
15/16,2015-10-24,West Ham United,Chelsea,TRUE,74,79,81,75,73.5,73,76,75,0.5,71.64,8.333333333333332,0,1,1,1,0,82,87,89,86,81,77.5,84,86,2,108.27922077922078,10.333333333333332,0,1,8,2,1,1,-8,-8,-8,-11,-7.5,-4.5,-8,-11,-1.5,-36.63922077922078,-2,0,0,-7,-1,-1,-6,-12.5,-12,-7
15/16,2015-10-25,Sunderland,Newcastle United,TRUE,74,79,79,79,73,72,77,79,2,48.242165242165235,8,0,2,5,0,0,77,80,76,78,74.5,73,76,78,12.5,33.44927536231885,3,0,2,7,2,0,1,-3,-1,3,1,-1.5,-1,1,1,-10.5,14.792889879846385,5,0,0,-2,-2,0,4.5,-5,-1,1
15/16,2015-10-31,Manchester City,Norwich City,TRUE,79,88,86,87,79,80,82,87,0,77.99209486166009,9.333333333333332,0,2,8,2,1,71,78,74,75,70,70,74,75,2,51.52173913043478,0,0,1,3,2,0,1,8,10,12,12,9,10,8,12,-2,26.47035573122531,9.333333333333332,0,1,5,0,1,17,4,9,13
15/16,2015-10-31,Newcastle United,Stoke City,FALSE,77,80,76,78,74.5,73,76,78,12.5,33.44927536231885,3,0,2,7,2,0,77,80,81,71,75.5,75,80,71,4.5,33.474025974025984,2.3333333333333335,0,1,2,2,1,0,0,0,-5,7,-1,-2,-4,7,8,-0.024750611707133885,0.6666666666666665,0,1,5,0,-1,2.5,3.5,-2,9
15/16,2015-10-31,Swansea City,Arsenal,FALSE,74,81,79,77,74,75,78,77,0,58.389492753623195,1,0,0,3,3,1,80,85,87,86,77,78,87,82,18,124.10461538461539,0,7,0,6,0,3,0,-6,-4,-8,-9,-3,-3,-9,-5,-18,-65.7151226309922,1,-7,0,-3,3,-2,0,-8,-8,-5
15/16,2015-10-31,Watford,West Ham United,TRUE,77,78,75,72,71.5,71,75,72,60.5,36.409090909090914,1.3333333333333335,0,2,1,1,0,74,79,81,75,73.5,73,76,75,0.5,71.64,8.333333333333332,0,1,1,1,0,1,3,-1,-6,-3,-2,-2,-1,-3,60,-35.23090909090909,-6.999999999999998,0,1,0,0,0,-1.5,-3.5,-7,3
15/16,2015-11-01,Everton,Sunderland,TRUE,66,83,79,80,65.5,76.5,76,80,0.5,45.30735930735931,3,0,0,8,1,0,74,79,79,79,73,72,77,79,2,48.242165242165235,8,0,2,5,0,0,1,-8,4,0,1,-7.5,4.5,-1,1,-1.5,-2.9348059348059223,-5,0,-2,3,1,0,7,-13.5,1,4
15/16,2015-11-02,Tottenham Hotspur,Aston Villa,TRUE,79,85,79,78,77.5,75,79,78,4.5,83.82333333333334,0,0,2,10,0,1,75,79,76,73,74,74,74,73,2,29.221343873517785,4,0,1,3,2,0,1,4,6,3,5,3.5,1,5,5,2.5,54.601989459815556,-4,0,1,7,-2,1,4,4.5,-1,12
15/16,2015-11-07,Norwich City,Swansea City,TRUE,71,78,74,75,70,70,74,75,2,51.52173913043478,0,0,1,3,2,0,74,81,79,77,74,75,78,77,0,58.389492753623195,1,0,0,3,3,1,1,-3,-3,-5,-2,-4,-5,-4,-2,2,-6.867753623188413,-1,0,1,0,-1,-1,1,-7,-6,1
15/16,2015-11-07,Stoke City,Chelsea,TRUE,77,80,81,71,75.5,75,80,71,4.5,33.474025974025984,2.3333333333333335,0,1,2,2,1,82,87,89,86,81,77.5,84,86,2,108.27922077922078,10.333333333333332,0,1,8,2,1,1,-5,-7,-8,-15,-5.5,-2.5,-4,-15,2.5,-74.80519480519479,-7.999999999999998,0,0,-6,0,0,-10,-10.5,-16,-6
15/16,2015-11-07,Sunderland,Southampton,FALSE,74,79,79,79,73,72,77,79,2,48.242165242165235,8,0,2,5,0,0,73,81,79,77,69.5,74,78,77,24.5,46.76,7,0,0,7,2,1,0,1,-2,0,2,3.5,-2,-1,2,-22.5,1.4821652421652374,1,0,2,-2,-2,-1,9.5,-4,-2,2
15/16,2015-11-07,West Ham United,Everton,FALSE,74,79,81,75,73.5,73,76,75,0.5,71.64,8.333333333333332,0,1,1,1,0,66,83,79,80,65.5,76.5,76,80,0.5,45.30735930735931,3,0,0,8,1,0,0,8,-4,2,-5,8,-3.5,0,-5,0,26.332640692640688,5.333333333333332,0,1,-7,0,0,9.5,-6.5,-8,-1
15/16,2015-11-08,Arsenal,Tottenham Hotspur,FALSE,80,85,87,86,77,78,87,82,18,124.10461538461539,0,7,0,6,0,3,79,85,79,78,77.5,75,79,78,4.5,83.82333333333334,0,0,2,10,0,1,0,1,0,8,8,-0.5,3,8,4,13.5,40.28128205128205,0,7,-2,-4,0,2,4.5,-1,1,7
15/16,2015-11-08,Aston Villa,Manchester City,FALSE,75,79,76,73,74,74,74,73,2,29.221343873517785,4,0,1,3,2,0,79,88,86,87,79,80,82,87,0,77.99209486166009,9.333333333333332,0,2,8,2,1,0,-4,-9,-10,-14,-5,-6,-8,-14,2,-48.77075098814231,-5.333333333333332,0,-1,-5,0,-1,-6,-13,-15,-8
15/16,2015-11-21,Chelsea,Norwich City,TRUE,82,87,89,86,81,77.5,84,86,2,108.27922077922078,10.333333333333332,0,1,8,2,1,71,78,74,75,70,70,74,75,2,51.52173913043478,0,0,1,3,2,0,1,11,9,15,11,11,7.5,10,11,0,56.757481648786,10.333333333333332,0,0,5,0,1,16,6,8,12
15/16,2015-11-21,Everton,Aston Villa,TRUE,66,83,79,80,65.5,76.5,76,80,0.5,45.30735930735931,3,0,0,8,1,0,75,79,76,73,74,74,74,73,2,29.221343873517785,4,0,1,3,2,0,1,-9,4,3,7,-8.5,2.5,2,7,-1.5,16.086015433841528,-1,0,-1,5,-1,0,6,-7.5,1,10
15/16,2015-11-21,Southampton,Stoke City,FALSE,73,81,79,77,69.5,74,78,77,24.5,46.76,7,0,0,7,2,1,77,80,81,71,75.5,75,80,71,4.5,33.474025974025984,2.3333333333333335,0,1,2,2,1,0,-4,1,-2,6,-6,-1,-2,6,20,13.285974025974014,4.666666666666666,0,-1,5,0,0,1.5,-1.5,-3,10
15/16,2015-11-21,West Bromwich Albion,Arsenal,TRUE,73,79,78,80,69.5,73,76,80,24.5,75.34601449275362,4,0,0,4,1,1,80,85,87,86,77,78,87,82,18,124.10461538461539,0,7,0,6,0,3,1,-7,-6,-9,-6,-7.5,-5,-11,-2,6.5,-48.75860089186176,4,-7,0,-2,1,-2,3,-12.5,-5,-7
15/16,2015-11-22,Tottenham Hotspur,West Ham United,TRUE,79,85,79,78,77.5,75,79,78,4.5,83.82333333333334,0,0,2,10,0,1,74,79,81,75,73.5,73,76,75,0.5,71.64,8.333333333333332,0,1,1,1,0,1,5,6,-2,3,4,2,3,3,4,12.183333333333337,-8.333333333333332,0,1,9,-1,1,4.5,2.5,-1,10
15/16,2015-11-23,Crystal Palace,Sunderland,FALSE,76,79,77,76,75,73,75,76,2,25.482213438735183,1.3333333333333335,0,1,4,1,1,74,79,79,79,73,72,77,79,2,48.242165242165235,8,0,2,5,0,0,0,2,0,-2,-3,2,1,-2,-3,0,-22.759951803430052,-6.666666666666666,0,-1,-1,1,1,3,-4,-3,0
15/16,2015-11-28,Aston Villa,Watford,FALSE,75,79,76,73,74,74,74,73,2,29.221343873517785,4,0,1,3,2,0,77,78,75,72,71.5,71,75,72,60.5,36.409090909090914,1.3333333333333335,0,2,1,1,0,0,-2,1,1,1,2.5,3,-1,1,-58.5,-7.187747035573128,2.6666666666666665,0,-1,2,1,0,1.5,2,-5,7
15/16,2015-11-28,Crystal Palace,Newcastle United,TRUE,76,79,77,76,75,73,75,76,2,25.482213438735183,1.3333333333333335,0,1,4,1,1,77,80,76,78,74.5,73,76,78,12.5,33.44927536231885,3,0,2,7,2,0,1,-1,-1,1,-2,0.5,0,-1,-2,-10.5,-7.9670619235836675,-1.6666666666666665,0,-1,-3,-1,1,1.5,-3,-4,1
15/16,2015-11-28,Manchester City,Southampton,TRUE,79,88,86,87,79,80,82,87,0,77.99209486166009,9.333333333333332,0,2,8,2,1,73,81,79,77,69.5,74,78,77,24.5,46.76,7,0,0,7,2,1,1,6,7,7,10,9.5,6,4,10,-24.5,31.232094861660094,2.333333333333332,0,2,1,0,0,17.5,2,6,11
15/16,2015-11-28,Sunderland,Stoke City,TRUE,74,79,79,79,73,72,77,79,2,48.242165242165235,8,0,2,5,0,0,77,80,81,71,75.5,75,80,71,4.5,33.474025974025984,2.3333333333333335,0,1,2,2,1,1,-3,-1,-2,8,-2.5,-3,-3,8,-2.5,14.768139268139251,5.666666666666666,0,1,3,-2,-1,3.5,2,-1,8
15/16,2015-11-29,Norwich City,Arsenal,FALSE,71,78,74,75,70,70,74,75,2,51.52173913043478,0,0,1,3,2,0,80,85,87,86,77,78,87,82,18,124.10461538461539,0,7,0,6,0,3,0,-9,-7,-13,-11,-7,-8,-13,-7,-16,-72.5828762541806,0,-7,1,-3,2,-3,-2,-12,-10,-8
15/16,2015-11-29,Tottenham Hotspur,Chelsea,FALSE,79,85,79,78,77.5,75,79,78,4.5,83.82333333333334,0,0,2,10,0,1,82,87,89,86,81,77.5,84,86,2,108.27922077922078,10.333333333333332,0,1,8,2,1,0,-3,-2,-10,-8,-3.5,-2.5,-5,-8,2.5,-24.45588744588744,-10.333333333333332,0,1,2,-2,0,-3,-8.5,-9,-1
15/16,2015-11-29,West Ham United,West Bromwich Albion,FALSE,74,79,81,75,73.5,73,76,75,0.5,71.64,8.333333333333332,0,1,1,1,0,73,79,78,80,69.5,73,76,80,24.5,75.34601449275362,4,0,0,4,1,1,0,1,0,3,-5,4,0,0,-5,-24,-3.7060144927536243,4.333333333333332,0,1,-3,0,-1,5.5,-6.5,-4,-1
15/16,2015-12-05,Arsenal,Sunderland,TRUE,80,85,87,86,77,78,87,82,18,124.10461538461539,0,7,0,6,0,3,74,79,79,79,73,72,77,79,2,48.242165242165235,8,0,2,5,0,0,1,6,6,8,7,4,6,10,3,16,75.86245014245014,-8,7,-2,1,0,3,9,-2,7,6
15/16,2015-12-05,Southampton,Aston Villa,FALSE,73,81,79,77,69.5,74,78,77,24.5,46.76,7,0,0,7,2,1,75,79,76,73,74,74,74,73,2,29.221343873517785,4,0,1,3,2,0,0,-2,2,3,4,-4.5,0,4,4,22.5,17.538656126482213,3,0,-1,4,0,1,3,-3.5,-2,8
15/16,2015-12-05,Stoke City,Manchester City,TRUE,77,80,81,71,75.5,75,80,71,4.5,33.474025974025984,2.3333333333333335,0,1,2,2,1,79,88,86,87,79,80,82,87,0,77.99209486166009,9.333333333333332,0,2,8,2,1,1,-2,-8,-5,-16,-3.5,-5,-2,-16,4.5,-44.51806888763411,-6.999999999999998,0,-1,-6,0,0,-8,-11.5,-17,-7
15/16,2015-12-05,Watford,Norwich City,TRUE,77,78,75,72,71.5,71,75,72,60.5,36.409090909090914,1.3333333333333335,0,2,1,1,0,71,78,74,75,70,70,74,75,2,51.52173913043478,0,0,1,3,2,0,1,6,0,1,-3,1.5,1,1,-3,58.5,-15.112648221343868,1.3333333333333335,0,1,-2,-1,0,2,-3.5,-6,3
15/16,2015-12-05,West Bromwich Albion,Tottenham Hotspur,FALSE,73,79,78,80,69.5,73,76,80,24.5,75.34601449275362,4,0,0,4,1,1,79,85,79,78,77.5,75,79,78,4.5,83.82333333333334,0,0,2,10,0,1,0,-6,-6,-1,2,-8,-2,-3,2,20,-8.477318840579713,4,0,-2,-6,1,0,2.5,-8.5,-5,1
15/16,2015-12-07,Everton,Crystal Palace,FALSE,66,83,79,80,65.5,76.5,76,80,0.5,45.30735930735931,3,0,0,8,1,0,76,79,77,76,75,73,75,76,2,25.482213438735183,1.3333333333333335,0,1,4,1,1,0,-10,4,2,4,-9.5,3.5,1,4,-1.5,19.82514586862413,1.6666666666666665,0,-1,4,0,-1,5,-10.5,1,7
15/16,2015-12-12,Crystal Palace,Southampton,TRUE,76,79,77,76,75,73,75,76,2,25.482213438735183,1.3333333333333335,0,1,4,1,1,73,81,79,77,69.5,74,78,77,24.5,46.76,7,0,0,7,2,1,1,3,-2,-2,-1,5.5,-1,-3,-1,-22.5,-21.277786561264815,-5.666666666666666,0,1,-3,-1,0,6.5,-2,-5,2
15/16,2015-12-12,Manchester City,Swansea City,TRUE,79,88,86,87,79,80,82,87,0,77.99209486166009,9.333333333333332,0,2,8,2,1,74,81,79,77,74,75,78,77,0,58.389492753623195,1,0,0,3,3,1,1,5,7,7,10,5,5,4,10,0,19.602602108036898,8.333333333333332,0,2,5,-1,0,13,2,6,11
15/16,2015-12-12,Norwich City,Everton,FALSE,71,78,74,75,70,70,74,75,2,51.52173913043478,0,0,1,3,2,0,66,83,79,80,65.5,76.5,76,80,0.5,45.30735930735931,3,0,0,8,1,0,0,5,-5,-5,-5,4.5,-6.5,-2,-5,1.5,6.214379823075468,-3,0,1,-5,1,0,9.5,-10,-8,-2
15/16,2015-12-12,Sunderland,Watford,FALSE,74,79,79,79,73,72,77,79,2,48.242165242165235,8,0,2,5,0,0,77,78,75,72,71.5,71,75,72,60.5,36.409090909090914,1.3333333333333335,0,2,1,1,0,0,-3,1,4,7,1.5,1,2,7,-58.5,11.833074333074322,6.666666666666666,0,0,4,-1,0,7.5,1,1,7
15/16,2015-12-12,West Ham United,Stoke City,FALSE,74,79,81,75,73.5,73,76,75,0.5,71.64,8.333333333333332,0,1,1,1,0,77,80,81,71,75.5,75,80,71,4.5,33.474025974025984,2.3333333333333335,0,1,2,2,1,0,-3,-1,0,4,-2,-2,-4,4,-4,38.165974025974016,5.999999999999998,0,0,-1,-1,-1,-0.5,2.5,-5,8
15/16,2015-12-13,Aston Villa,Arsenal,FALSE,75,79,76,73,74,74,74,73,2,29.221343873517785,4,0,1,3,2,0,80,85,87,86,77,78,87,82,18,124.10461538461539,0,7,0,6,0,3,0,-5,-6,-11,-13,-3,-4,-13,-9,-16,-94.8832715110976,4,-7,1,-3,2,-3,-4,-8,-12,-7
15/16,2015-12-13,Tottenham Hotspur,Newcastle United,FALSE,79,85,79,78,77.5,75,79,78,4.5,83.82333333333334,0,0,2,10,0,1,77,80,76,78,74.5,73,76,78,12.5,33.44927536231885,3,0,2,7,2,0,0,2,5,3,0,3,2,3,0,-8,50.37405797101449,-3,0,0,3,-2,1,3.5,-0.5,-2,7
15/16,2015-12-19,Chelsea,Sunderland,TRUE,82,87,89,86,81,77.5,84,86,2,108.27922077922078,10.333333333333332,0,1,8,2,1,74,79,79,79,73,72,77,79,2,48.242165242165235,8,0,2,5,0,0,1,8,8,10,7,8,5.5,7,7,0,60.037055537055544,2.333333333333332,0,-1,3,2,1,13,2,7,8
15/16,2015-12-19,Newcastle United,Aston Villa,FALSE,77,80,76,78,74.5,73,76,78,12.5,33.44927536231885,3,0,2,7,2,0,75,79,76,73,74,74,74,73,2,29.221343873517785,4,0,1,3,2,0,0,2,1,0,5,0.5,-1,2,5,10.5,4.227931488801065,-1,0,1,4,0,0,4,1.5,-1,7
15/16,2015-12-19,Southampton,Tottenham Hotspur,FALSE,73,81,79,77,69.5,74,78,77,24.5,46.76,7,0,0,7,2,1,79,85,79,78,77.5,75,79,78,4.5,83.82333333333334,0,0,2,10,0,1,0,-6,-4,0,-1,-8,-1,-1,-1,20,-37.06333333333334,7,0,-2,-3,2,0,-0.5,-8.5,-8,3
15/16,2015-12-19,Stoke City,Crystal Palace,FALSE,77,80,81,71,75.5,75,80,71,4.5,33.474025974025984,2.3333333333333335,0,1,2,2,1,76,79,77,76,75,73,75,76,2,25.482213438735183,1.3333333333333335,0,1,4,1,1,0,1,1,4,-5,0.5,2,5,-5,2.5,7.991812535290801,1,0,0,-2,1,0,-4,-0.5,-8,4
15/16,2015-12-20,Swansea City,West Ham United,FALSE,74,81,79,77,74,75,78,77,0,58.389492753623195,1,0,0,3,3,1,74,79,81,75,73.5,73,76,75,0.5,71.64,8.333333333333332,0,1,1,1,0,0,0,2,-2,2,0.5,2,2,2,-0.5,-13.250507246376806,-7.333333333333332,0,-1,2,2,1,3.5,-1,-2,6
15/16,2015-12-21,Arsenal,Manchester City,TRUE,80,85,87,86,77,78,87,82,18,124.10461538461539,0,7,0,6,0,3,79,88,86,87,79,80,82,87,0,77.99209486166009,9.333333333333332,0,2,8,2,1,1,1,-3,1,-1,-2,-2,5,-5,18,46.11252052295529,-9.333333333333332,7,-2,-2,-2,2,3,-10,-2,-2
15/16,2015-12-26,Aston Villa,West Ham United,FALSE,75,79,76,73,74,74,74,73,2,29.221343873517785,4,0,1,3,2,0,74,79,81,75,73.5,73,76,75,0.5,71.64,8.333333333333332,0,1,1,1,0,0,1,0,-5,-2,0.5,1,-2,-2,1.5,-42.41865612648222,-4.333333333333332,0,0,2,1,0,-0.5,-1,-6,4
15/16,2015-12-26,Chelsea,Watford,FALSE,82,87,89,86,81,77.5,84,86,2,108.27922077922078,10.333333333333332,0,1,8,2,1,77,78,75,72,71.5,71,75,72,60.5,36.409090909090914,1.3333333333333335,0,2,1,1,0,0,5,9,14,14,9.5,6.5,9,14,-58.5,71.87012987012986,8.999999999999998,0,-1,7,1,1,14.5,9,8,15
15/16,2015-12-26,Manchester City,Sunderland,TRUE,79,88,86,87,79,80,82,87,0,77.99209486166009,9.333333333333332,0,2,8,2,1,74,79,79,79,73,72,77,79,2,48.242165242165235,8,0,2,5,0,0,1,5,9,7,8,6,8,5,8,-2,29.749929619494857,1.3333333333333321,0,0,3,2,1,14,0,8,9
15/16,2015-12-26,Newcastle United,Everton,FALSE,77,80,76,78,74.5,73,76,78,12.5,33.44927536231885,3,0,2,7,2,0,66,83,79,80,65.5,76.5,76,80,0.5,45.30735930735931,3,0,0,8,1,0,0,11,-3,-3,-2,9,-3.5,0,-2,12,-11.858083945040462,0,0,2,-1,1,0,12.5,-5.5,-5,0
15/16,2015-12-26,Southampton,Arsenal,TRUE,73,81,79,77,69.5,74,78,77,24.5,46.76,7,0,0,7,2,1,80,85,87,86,77,78,87,82,18,124.10461538461539,0,7,0,6,0,3,1,-7,-4,-8,-9,-7.5,-4,-9,-5,6.5,-77.3446153846154,7,-7,0,1,2,-2,0,-12.5,-8,-5
15/16,2015-12-26,Swansea City,West Bromwich Albion,TRUE,74,81,79,77,74,75,78,77,0,58.389492753623195,1,0,0,3,3,1,73,79,78,80,69.5,73,76,80,24.5,75.34601449275362,4,0,0,4,1,1,1,1,2,1,-3,4.5,2,2,-3,-24.5,-16.95652173913043,-3,0,0,-1,2,0,7.5,-6,-2,1
15/16,2015-12-26,Tottenham Hotspur,Norwich City,TRUE,79,85,79,78,77.5,75,79,78,4.5,83.82333333333334,0,0,2,10,0,1,71,78,74,75,70,70,74,75,2,51.52173913043478,0,0,1,3,2,0,1,8,7,5,3,7.5,5,5,3,2.5,32.301594202898556,0,0,1,7,-2,1,8,2.5,0,10
15/16,2015-12-28,Crystal Palace,Swansea City,FALSE,76,79,77,76,75,73,75,76,2,25.482213438735183,1.3333333333333335,0,1,4,1,1,74,81,79,77,74,75,78,77,0,58.389492753623195,1,0,0,3,3,1,0,2,-2,-2,-1,1,-2,-3,-1,2,-32.907279314888015,0.3333333333333335,0,1,1,-2,0,2,-2,-5,2
15/16,2015-12-28,Everton,Stoke City,FALSE,66,83,79,80,65.5,76.5,76,80,0.5,45.30735930735931,3,0,0,8,1,0,77,80,81,71,75.5,75,80,71,4.5,33.474025974025984,2.3333333333333335,0,1,2,2,1,0,-11,3,-2,9,-10,1.5,-4,9,-4,11.833333333333329,0.6666666666666665,0,-1,6,-1,-1,4.5,-5.5,0,12
15/16,2015-12-28,Norwich City,Aston Villa,TRUE,71,78,74,75,70,70,74,75,2,51.52173913043478,0,0,1,3,2,0,75,79,76,73,74,74,74,73,2,29.221343873517785,4,0,1,3,2,0,1,-4,-1,-2,2,-4,-4,0,2,0,22.300395256916996,-4,0,0,0,0,0,1,-3,-4,5
15/16,2015-12-28,Watford,Tottenham Hotspur,FALSE,77,78,75,72,71.5,71,75,72,60.5,36.409090909090914,1.3333333333333335,0,2,1,1,0,79,85,79,78,77.5,75,79,78,4.5,83.82333333333334,0,0,2,10,0,1,0,-2,-7,-4,-6,-6,-4,-4,-6,56,-47.414242424242424,1.3333333333333335,0,0,-9,1,-1,-5.5,-6.5,-13,0
15/16,2015-12-28,West Bromwich Albion,Newcastle United,TRUE,73,79,78,80,69.5,73,76,80,24.5,75.34601449275362,4,0,0,4,1,1,77,80,76,78,74.5,73,76,78,12.5,33.44927536231885,3,0,2,7,2,0,1,-4,-1,2,2,-5,0,0,2,12,41.896739130434774,1,0,-2,-3,-1,1,5.5,-8.5,0,1
15/16,2015-12-28,West Ham United,Southampton,TRUE,74,79,81,75,73.5,73,76,75,0.5,71.64,8.333333333333332,0,1,1,1,0,73,81,79,77,69.5,74,78,77,24.5,46.76,7,0,0,7,2,1,1,1,-2,2,-2,4,-1,-2,-2,-24,24.880000000000003,1.3333333333333321,0,1,-6,-1,-1,5.5,-3.5,-6,2
15/16,2016-01-02,Arsenal,Newcastle United,TRUE,80,85,87,86,77,78,87,82,18,124.10461538461539,0,7,0,6,0,3,77,80,76,78,74.5,73,76,78,12.5,33.44927536231885,3,0,2,7,2,0,1,3,5,11,8,2.5,5,11,4,5.5,90.65534002229654,-3,7,-2,-1,-2,3,7.5,-1,6,7
